,kahu,date,discharge,arki,3day_arki,kahu,3day_kahu,90day_kahu
168,0.0,2011-08-09,6.286340034000056,5.0,1.6666666666666667,0.0,1.3333333333333333,5.505555555555556
169,0.0,2011-08-10,6.201389493000056,0.0,1.6666666666666667,0.0,0.0,5.505555555555556
170,0.0,2011-08-11,17.075058741000152,0.0,1.6666666666666667,0.0,0.0,5.49888888888889
171,3.5,2011-08-12,18.547534785000167,0.0,0.0,3.5,1.1666666666666667,5.537777777777778
172,59.0,2011-08-13,51.621612081000464,0.0,0.0,59.0,20.83333333333333,6.193333333333333
173,53.0,2011-08-14,19.651891818000177,15.0,5.0,53.0,38.5,6.782222222222222
174,4.3,2011-08-15,138.41274813600123,45.0,20.0,4.3,38.766666666666666,6.83
175,138.0,2011-08-16,121.64917471200108,160.0,73.33333333333333,138.0,65.10000000000001,8.363333333333333
176,0.0,2011-08-17,47.03428286700042,2.0,69.0,0.0,47.43333333333334,8.363333333333333
177,0.0,2011-08-18,38.87903093100034,0.0,54.0,0.0,46.0,8.363333333333333
178,0.0,2011-08-19,37.548139122000336,0.0,0.6666666666666666,0.0,0.0,8.357777777777779
179,23.0,2011-08-20,80.70301395000072,54.0,18.0,23.0,7.666666666666667,8.61
180,0.5,2011-08-21,46.24141115100041,2.0,18.666666666666668,0.5,7.833333333333333,8.615555555555556
181,0.0,2011-08-22,37.831307592000336,0.0,18.666666666666668,0.0,7.833333333333333,8.615555555555556
182,0.0,2011-08-23,32.847542520000296,0.0,0.6666666666666666,0.0,0.1666666666666666,8.615555555555556
183,2.5,2011-08-24,29.95922412600027,0.0,0.0,2.5,0.8333333333333334,8.44
184,0.0,2011-08-25,26.30635086300024,0.0,0.0,0.0,0.8333333333333334,8.051111111111112
185,0.2,2011-08-26,25.485162300000223,0.0,0.0,0.2,0.9,8.024444444444443
186,14.0,2011-08-27,42.98497374600039,48.0,16.0,14.0,4.733333333333333,8.18
187,29.5,2011-08-28,29.95922412600027,0.0,16.0,29.5,14.566666666666668,8.427777777777777
